Final Code	Item Name	UOM		HSN CODE	NEW ITEM DISRIPTION
VBMUL32003ON	MAGNETIC V BLOCK (4")-100X70X95 MM	NOS			CAT. NO UL32003-SINGLE MAGNETIC V BLOCK (4")-100X70X95 MM
VBMUL32004ON	MAGNETIC V BLOCK (6")-150X75X100 MM	NOS			CAT. NO UL32004-SINGLE MAGNETIC V BLOCK (6")-150X75X100 MM
VBMUL32005ON	MAGNETIC V BLOCK (8")-200X125X150 MM	NOS			CAT. NO UL32005-SINGLE MAGNETIC V BLOCK (8")-200X125X150 MM
VBMUL32006ON	MAGNETIC V BLOCK (6" SPL)-160X125X130 MM	NOS			CAT. NO UL32006-SINGLE MAGNETIC V BLOCK (6" SPL)-160X125X130 MM
VBMVM70P04	MAG V BLOCK 04 MIC PAIR-70X55 MM	PAIR			CAT. NO VM70 MAG V BLOCK 04 MIC PAIR-70X55 MM
VBMVM70P10	MAG V BLOCK 10 MIC PAIR-70X55 MM	PAIR			CAT. NO VM70 MAG V BLOCK 10 MIC PAIR-70X55 MM
VBMVM70N04	MAG V BLOCK 04 MIC SINGLE-70X55 MM	NOS			CAT. NO VM70 MAG V BLOCK 04 MIC SINGLE-70X55 MM
VBMVM70N10	MAG V BLOCK 10 MIC SINGLE-70X55 MM	NOS			CAT. NO VM70 MAG V BLOCK 10 MIC SINGLE-70X55 MM
VBMVM80P04	MAG V BLOCK 04 MIC PAIR-80X70 MM	PAIR			CAT. NO VM80 MAG V BLOCK 04 MIC PAIR-80X70 MM
VBMVM80P10	MAG V BLOCK 10 MIC PAIR-80X70 MM	PAIR			CAT. NO VM80 MAG V BLOCK 10 MIC PAIR-80X70 MM
VBMVM80N04	MAG V BLOCK 04 MIC SINGLE-80X70 MM	NOS			CAT. NO VM80 MAG V BLOCK 04 MIC SINGLE-80X70 MM
VBMVM80N10	MAG V BLOCK 10 MIC SINGLE-80X70 MM	NOS			CAT. NO VM80 MAG V BLOCK 10 MIC SINGLE-80X70 MM
VBMVM120P04	MAG V BLOCK 04 MIC PAIR-120X70 MM	PAIR			CAT. NO VM120 MAG V BLOCK 04 MIC PAIR-120X70 MM
VBMVM120P10	MAG V BLOCK 10 MIC PAIR-120X70 MM	PAIR			CAT. NO VM120 MAG V BLOCK 10 MIC PAIR-120X70 MM
VBMVM120N04	MAG V BLOCK 04 MIC SINGLE-120X70 MM	NOS			CAT. NO VM120 MAG V BLOCK 04 MIC SINGLE-120X70 MM
VBMVM120N10	MAG V BLOCK 10 MIC SINGLE-120X70 MM	NOS			CAT. NO VM120 MAG V BLOCK 10 MIC SINGLE-120X70 MM
VBNUL10301P	NON MAG V BLOCKS-65X150X75 MM	PAIR			CAT. NO 04UL10301 NON MAG V BLOCKS-65X150X75 MM
VBNUL10302P	NON MAG V BLOCKS-65X175X100 MM	PAIR			CAT. NO 04UL10302 NON MAG V BLOCKS-65X175X100 MM
VBNUL10303P	NON MAG V BLOCKS-75X200X125 MM	PAIR			CAT. NO 04UL10303 NON MAG V BLOCKS-75X200X125 MM
TPPUL30101P	PARALLEL BLOCK-100X10X5 MM	PAIR			CAT. NO UL30101 PARALLEL BLOCK-100X10X5 MM
TPPUL30102P	PARALLEL BLOCK-100X12X5 MM	PAIR			CAT. NO UL30102 PARALLEL BLOCK-100X12X5 MM
TPPUL30103P	PARALLEL BLOCK-100X15X5 MM	PAIR			CAT. NO UL30103 PARALLEL BLOCK-100X15X5 MM
TPPUL30104P	PARALLEL BLOCK-100X20X5 MM	PAIR			CAT. NO UL30104 PARALLEL BLOCK-100X20X5 MM
TPPUL30105P	PARALLEL BLOCK-150X10X6 MM	PAIR			CAT. NO UL30105 PARALLEL BLOCK-150X10X6 MM
TPPUL30106P	PARALLEL BLOCK-150X12X6 MM	PAIR			CAT. NO UL30106 PARALLEL BLOCK-150X12X6 MM
TPPUL30107P	PARALLEL BLOCK-150X15X6 MM	PAIR			CAT. NO UL30107 PARALLEL BLOCK-150X15X6 MM
TPPUL30108P	PARALLEL BLOCK-150X20X6 MM	PAIR			CAT. NO UL30108 PARALLEL BLOCK-150X20X6 MM
TPPUL30109P	PARALLEL BLOCK-150X10X10 MM	PAIR			CAT. NO UL30109 PARALLEL BLOCK-150X10X10 MM
TPPUL30110P	PARALLEL BLOCK-150X12X10 MM	PAIR			CAT. NO UL30110 PARALLEL BLOCK-150X12X10 MM
TPPUL30111P	PARALLEL BLOCK-150X15X10 MM	PAIR			CAT. NO UL30111 PARALLEL BLOCK-150X15X10 MM
TPPUL30112P	PARALLEL BLOCK-150X20X10 MM	PAIR			CAT. NO UL30112 PARALLEL BLOCK-150X20X10 MM
TPPUL30113P	PARALLEL BLOCK-150X15X15 MM	PAIR			CAT. NO UL30113 PARALLEL BLOCK-150X15X15 MM
TPPUL30114P	PARALLEL BLOCK-150X20X15 MM	PAIR			CAT. NO UL30114 PARALLEL BLOCK-150X20X15 MM
TPPUL30115P	PARALLEL BLOCK-150X25X15 MM	PAIR			CAT. NO UL30115 PARALLEL BLOCK-150X25X15 MM
TPPUL30116P	PARALLEL BLOCK-150X30X15 MM	PAIR			CAT. NO UL30116 PARALLEL BLOCK-150X30X15 MM
TPPUL30117P	PARALLEL BLOCK-200X20X15 MM	PAIR			CAT. NO UL30117 PARALLEL BLOCK-200X20X15 MM
TPPUL30118P	PARALLEL BLOCK-200X25X15 MM	PAIR			CAT. NO UL30118 PARALLEL BLOCK-200X25X15 MM
TPPUL30119P	PARALLEL BLOCK-200X30X20 MM	PAIR			CAT. NO UL30119 PARALLEL BLOCK-200X30X20 MM
TPPUL30120P	PARALLEL BLOCK-200X40X20 MM	PAIR			CAT. NO UL30120 PARALLEL BLOCK-200X40X20 MM
TPPUL30121P	PARALLEL BLOCK-200X20X25 MM	PAIR			CAT. NO UL30121 PARALLEL BLOCK-200X20X25 MM
TPPUL30122P	PARALLEL BLOCK-200X30X25 MM	PAIR			CAT. NO UL30122 PARALLEL BLOCK-200X30X25 MM
TPPUL30123P	PARALLEL BLOCK-200X40X25 MM	PAIR			CAT. NO UL30123 PARALLEL BLOCK-200X40X25 MM
TPPUL30124P	PARALLEL BLOCK-200X50X25 MM	PAIR			CAT. NO UL30124 PARALLEL BLOCK-200X50X25 MM
TPPUL30125P	PARALLEL BLOCK-250X15X20 MM	PAIR			CAT. NO UL30125 PARALLEL BLOCK-250X15X20 MM
TPPUL30126P	PARALLEL BLOCK-250X20X20 MM	PAIR			CAT. NO UL30126 PARALLEL BLOCK-250X20X20 MM
TPPUL30127P	PARALLEL BLOCK-250X25X20 MM	PAIR			CAT. NO UL30127 PARALLEL BLOCK-250X25X20 MM
TPPUL30128P	PARALLEL BLOCK-250X30X20 MM	PAIR			CAT. NO UL30128 PARALLEL BLOCK-250X30X20 MM
TPPUL30129P	PARALLEL BLOCK-250X40X25 MM	PAIR			CAT. NO UL30129 PARALLEL BLOCK-250X40X25 MM
TPPUL30130P	PARALLEL BLOCK-250X50X25 MM	PAIR			CAT. NO UL30130 PARALLEL BLOCK-250X50X25 MM
TPPUL30131P	PARALLEL BLOCK-250X50X30 MM	PAIR			CAT. NO UL30131 PARALLEL BLOCK-250X50X30 MM
TPPUL30132P	PARALLEL BLOCK-250X60X30 MM	PAIR			CAT. NO UL30132 PARALLEL BLOCK-250X60X30 MM
TPPUL30133P	PARALLEL BLOCK-300X25X25 MM	PAIR			CAT. NO UL30133 PARALLEL BLOCK-300X25X25 MM
TPPUL30134P	PARALLEL BLOCK-300X30X25 MM	PAIR			CAT. NO UL30134 PARALLEL BLOCK-300X30X25 MM
TPPUL30135P	PARALLEL BLOCK-300X40X25 MM	PAIR			CAT. NO UL30135 PARALLEL BLOCK-300X40X25 MM
TPPUL30136P	PARALLEL BLOCK-300X50X25 MM	PAIR			CAT. NO UL30136 PARALLEL BLOCK-300X50X25 MM
TPPUL30137P	PARALLEL BLOCK-300X40X35 MM	PAIR			CAT. NO UL30137 PARALLEL BLOCK-300X40X35 MM
TPPUL30138P	PARALLEL BLOCK-300X50X35 MM	PAIR			CAT. NO UL30138 PARALLEL BLOCK-300X50X35 MM
TPPUL30139P	PARALLEL BLOCK-300X60X35 MM	PAIR			CAT. NO UL30139 PARALLEL BLOCK-300X60X35 MM
TPPUL30140P	PARALLEL BLOCK-300X70X35 MM	PAIR			CAT. NO UL30140 PARALLEL BLOCK-300X70X35 MM
TPPUL30141P	PARALLEL BLOCK-350X30X40 MM	PAIR			CAT. NO UL30141 PARALLEL BLOCK-350X30X40 MM
TPPUL30142P	PARALLEL BLOCK-350X40X40 MM	PAIR			CAT. NO UL30142 PARALLEL BLOCK-350X40X40 MM
TPPUL30143P	PARALLEL BLOCK-350X50X40 MM	PAIR			CAT. NO UL30143 PARALLEL BLOCK-350X50X40 MM
TPPUL30144P	PARALLEL BLOCK-350X70X40 MM	PAIR			CAT. NO UL30144 PARALLEL BLOCK-350X70X40 MM
TPPUL30145P	PARALLEL BLOCK-400X50X50 MM	PAIR			CAT. NO UL30145 PARALLEL BLOCK-400X50X50 MM
TPPUL30146P	PARALLEL BLOCK-400X60X50 MM	PAIR			CAT. NO UL30146 PARALLEL BLOCK-400X60X50 MM
TPPUL30147P	PARALLEL BLOCK-400X75X50 MM	PAIR			CAT. NO UL30147 PARALLEL BLOCK-400X75X50 MM
TPPUL30148P	PARALLEL BLOCK-400X100X50 MM	PAIR			CAT. NO UL30148 PARALLEL BLOCK-400X100X50 MM
TPPUL30149P	PARALLEL BLOCK-450X50X50 MM	PAIR			CAT. NO UL30149 PARALLEL BLOCK-450X50X50 MM
TPPUL30150P	PARALLEL BLOCK-450X60X50 MM	PAIR			CAT. NO UL30150 PARALLEL BLOCK-450X60X50 MM
TPPUL30151P	PARALLEL BLOCK-450X75X50 MM	PAIR			CAT. NO UL30151 PARALLEL BLOCK-450X75X50 MM
TPPUL30152P	PARALLEL BLOCK-450X100X50 MM	PAIR			CAT. NO UL30152 PARALLEL BLOCK-450X100X50 MM
